page,page_count,exercise_templates
1,5,"{'id': '3BC06AD3', 'title': '21s Bicep Curl', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'B4F2FF72', 'title': 'Ab Scissors', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '99D5F10E', 'title': 'Ab Wheel', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'other', 'is_custom': False}"
1,5,"{'id': '5E0DDACE', 'title': 'Aerobics', 'type': 'duration', 'primary_muscle_group': 'cardio', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '43573BB8', 'title': 'Air Bike', 'type': 'duration', 'primary_muscle_group': 'cardio', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'A69FF221', 'title': 'Arnold Press (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'shoulders', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'D4A2FE7E', 'title': 'Around The World', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['upper_back', 'shoulders'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': '5BFF35BA', 'title': 'Assisted Pistol Squats', 'type': 'reps_only', 'primary_muscle_group': 'quadriceps', 'secondary_muscle_groups': ['hamstrings', 'glutes'], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '4F5866F8', 'title': 'Back Extension (Hyperextension)', 'type': 'reps_only', 'primary_muscle_group': 'lower_back', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'A05C064D', 'title': 'Back Extension (Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'lower_back', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '091737FA', 'title': 'Back Extension (Weighted Hyperextension)', 'type': 'bodyweight_weighted', 'primary_muscle_group': 'lower_back', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'F51D9080', 'title': 'Ball Slams', 'type': 'weight_reps', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'other', 'is_custom': False}"
1,5,"{'id': 'E8D86EE8', 'title': 'Band Pullaparts', 'type': 'reps_only', 'primary_muscle_group': 'shoulders', 'secondary_muscle_groups': [], 'equipment': 'resistance_band', 'is_custom': False}"
1,5,"{'id': '084A67CA', 'title': 'Battle Ropes', 'type': 'duration', 'primary_muscle_group': 'cardio', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'DDB29047', 'title': 'Behind the Back Bicep Wrist Curl (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'forearms', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'CD6DC8E5', 'title': 'Bench Dip', 'type': 'reps_only', 'primary_muscle_group': 'triceps', 'secondary_muscle_groups': [], 'equipment': 'other', 'is_custom': False}"
1,5,"{'id': '79D0BB3A', 'title': 'Bench Press (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps', 'shoulders'], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '99C1F2AD', 'title': 'Bench Press (Cable)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps', 'shoulders'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '35B51B87', 'title': 'Bench Press - Close Grip (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'triceps', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '3601968B', 'title': 'Bench Press (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps', 'shoulders'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': '0FBF7195', 'title': 'Bench Press (Smith Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps', 'shoulders'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'E644F828', 'title': 'Bench Press - Wide Grip (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps', 'shoulders'], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'EA820646', 'title': 'Bent Over Row (Band)', 'type': 'weight_reps', 'primary_muscle_group': 'upper_back', 'secondary_muscle_groups': [], 'equipment': 'resistance_band', 'is_custom': False}"
1,5,"{'id': '55E6546F', 'title': 'Bent Over Row (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'upper_back', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '23E92538', 'title': 'Bent Over Row (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'upper_back', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'A5AC6449', 'title': 'Bicep Curl (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'ADA8623C', 'title': 'Bicep Curl (Cable)', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '37FCC2BB', 'title': 'Bicep Curl (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'AF328E3D', 'title': 'Bicep Curl (Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '0B4C1902', 'title': 'Bicep Curl (Suspension)', 'type': 'reps_only', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'suspension', 'is_custom': False}"
1,5,"{'id': 'A41C7261', 'title': 'Bicycle Crunch', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '594450D2', 'title': 'Bicycle Crunch Raised Legs', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'BD0AD077', 'title': 'Bird Dog', 'type': 'reps_only', 'primary_muscle_group': 'glutes', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'A0D8FA1B', 'title': 'Boxing', 'type': 'duration', 'primary_muscle_group': 'cardio', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '56092DD1', 'title': 'Box Jump', 'type': 'reps_only', 'primary_muscle_group': 'quadriceps', 'secondary_muscle_groups': ['hamstrings', 'glutes', 'calves'], 'equipment': 'other', 'is_custom': False}"
1,5,"{'id': '38FC1AB9', 'title': 'Box Squat (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'quadriceps', 'secondary_muscle_groups': ['hamstrings', 'glutes'], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'B5D3A742', 'title': 'Bulgarian Split Squat', 'type': 'weight_reps', 'primary_muscle_group': 'quadriceps', 'secondary_muscle_groups': ['glutes', 'hamstrings'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'BB792A36', 'title': 'Burpee', 'type': 'reps_only', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '86B00DDE', 'title': 'Burpee Over the Bar', 'type': 'reps_only', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '9DCE2D64', 'title': 'Butterfly (Pec Deck)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'CC55119B', 'title': 'Cable Core Palloff Press', 'type': 'weight_reps', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '23A48484', 'title': 'Cable Crunch', 'type': 'weight_reps', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '651F844C', 'title': 'Cable Fly Crossovers', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
